statusId | label,,
516|Acc Gyro,,
517|Acc Gyro,,
518|Acc Gyro,,
519|Acc Gyro,,
520|Acc Gyro,,
521|Acc Gyro,,
522|Acc Gyro,,
523|Acc Gyro,,
524|Acc Gyro,,
525|Acc Gyro,,
526|Acc Gyro,,
527|Acc Gyro,,
statusId|sensorName|value|timestamp,,
516|MPU6500 Gyroscope Sensor|[0.039414786,0.018109497,-0.0063915867]|1500643337766
516|MPU6500 Acceleration Sensor|[-0.4357447,1.7980455,9.586384]|1500643337771
516|MPU6500 Gyroscope Sensor|[0.03089267,0.023435818,-0.0063915867]|1500643337771
516|MPU6500 Acceleration Sensor|[-0.60214174,1.9859903,9.91798]|1500643337777
516|MPU6500 Gyroscope Sensor|[0.034088463,0.018109497,-0.004261058]|1500643337778
516|MPU6500 Acceleration Sensor|[-0.5662287,2.0757728,9.903615]|1500643337781
516|MPU6500 Gyroscope Sensor|[0.054328486,0.018109497,-0.0031957934]|1500643337781
516|MPU6500 Acceleration Sensor|[-0.39743748,1.9369092,9.818622]|1500643337786
516|MPU6500 Gyroscope Sensor|[0.06498113,0.010652645,-0.0053263223]|1500643337786
516|MPU6500 Acceleration Sensor|[-0.39743748,1.9369092,9.818622]|1500643337787
516|MPU6500 Gyroscope Sensor|[0.06498113,0.010652645,-0.0053263223]|1500643337787
516|MPU6500 Acceleration Sensor|[-0.14963761,1.8986019,9.334992]|1500643337794
516|MPU6500 Gyroscope Sensor|[0.054328486,0.006391587,-0.007456851]|1500643337794
516|MPU6500 Acceleration Sensor|[-0.51954174,1.8866309,9.053674]|1500643337797
516|MPU6500 Gyroscope Sensor|[0.03089267,0.003195793,-0.007456851]|1500643337797
516|MPU6500 Acceleration Sensor|[-0.641646,2.0841527,9.185355]|1500643337802
516|MPU6500 Gyroscope Sensor|[0.02876214,0.012783174,-0.0063915867]|1500643337803
516|MPU6500 Acceleration Sensor|[-0.47046062,2.123657,9.141062]|1500643337808
516|MPU6500 Gyroscope Sensor|[0.03834952,0.008522116,-0.004261058]|1500643337808
516|MPU6500 Acceleration Sensor|[-0.48722005,2.3930047,9.398438]|1500643337813
516|MPU6500 Gyroscope Sensor|[0.03834952,0.013848438,-0.0031957934]|1500643337813
516|MPU6500 Acceleration Sensor|[-0.3878607,2.2589293,8.956709]|1500643337817
516|MPU6500 Gyroscope Sensor|[0.04580637,0.00958738,-0.004261058]|1500643337817
