statusId | label
533|Acc Gyro
534|Acc Gyro
535|Acc Gyro
536|Acc Gyro
537|Acc Gyro
538|Acc Gyro
539|Acc Gyro
540|Acc Gyro
541|Acc Gyro
542|Acc Gyro
543|Acc Gyro
544|Acc Gyro
545|Acc Gyro
546|Acc Gyro
547|Acc Gyro
548|Acc Gyro
549|Acc Gyro
550|Acc Gyro
551|Acc Gyro
552|Acc Gyro
553|Acc Gyro
554|Acc Gyro
555|Acc Gyro
556|Acc Gyro
557|Acc Gyro
558|Acc Gyro
559|Acc Gyro
560|Acc Gyro
561|Acc Gyro
562|Acc Gyro
563|Acc Gyro
564|Acc Gyro
565|Acc Gyro
566|Acc Gyro
567|Acc Gyro
568|Acc Gyro
569|Acc Gyro
570|Acc Gyro
statusId|sensorName|value|timestamp
533|MPU6500 Gyroscope Sensor|[0.049002163,0.017044231,-0.04261058]|1500663731733
533|MPU6500 Acceleration Sensor|[-0.6356605,2.9771898,10.144233]|1500663731738
533|MPU6500 Gyroscope Sensor|[0.05965481,0.026631612,-0.05752428]|1500663731738
533|MPU6500 Acceleration Sensor|[-0.6727707,2.5893292,10.052056]|1500663731743
533|MPU6500 Gyroscope Sensor|[0.040480047,0.026631612,-0.043675844]|1500663731742
533|MPU6500 Acceleration Sensor|[-0.688333,2.019509,10.395624]|1500663731748
533|MPU6500 Gyroscope Sensor|[0.029827405,0.023435818,-0.023435818]|1500663731748
533|MPU6500 Acceleration Sensor|[-0.6955156,1.7681179,10.205285]|1500663731753
533|MPU6500 Gyroscope Sensor|[0.033023197,0.020240024,-0.007456851]|1500663731753
533|MPU6500 Acceleration Sensor|[-0.35314476,1.9512744,10.144233]|1500663731758
533|MPU6500 Gyroscope Sensor|[0.02876214,0.022370555,0.007456851]|1500663731758
533|MPU6500 Acceleration Sensor|[-0.23582886,2.6324248,9.510966]|1500663731762
533|MPU6500 Gyroscope Sensor|[0.025566347,0.023435818,0.017044231]|1500663731762
533|MPU6500 Acceleration Sensor|[-0.34356794,3.0777464,9.208099]|1500663731768
533|MPU6500 Gyroscope Sensor|[0.015978966,0.023435818,0.02130529]|1500663731768
533|MPU6500 Acceleration Sensor|[-0.34356794,3.0777464,9.208099]|1500663731770
533|MPU6500 Gyroscope Sensor|[0.015978966,0.023435818,0.02130529]|1500663731770
533|MPU6500 Acceleration Sensor|[-0.59495914,3.38181,8.784326]|1500663731774
533|MPU6500 Gyroscope Sensor|[0.007456851,0.02130529,0.026631612]|1500663731774
533|MPU6500 Acceleration Sensor|[-0.7230489,3.2848446,8.505402]|1500663731779
533|MPU6500 Gyroscope Sensor|[-0.002130529,0.024501082,0.039414786]|1500663731779
533|MPU6500 Acceleration Sensor|[-0.7757214,3.0478187,8.176199]|1500663731785
533|MPU6500 Gyroscope Sensor|[-0.00958738,0.027696876,0.05752428]|1500663731785
533|MPU6500 Acceleration Sensor|[-0.46327803,2.1428106,7.693767]|1500663731790
533|MPU6500 Gyroscope Sensor|[-0.020240024,0.02130529,0.06711166]|1500663731789
533|MPU6500 Acceleration Sensor|[-0.46327803,2.1428106,7.693767]|1500663731794
533|MPU6500 Gyroscope Sensor|[-0.020240024,0.02130529,0.06711166]|1500663731794
533|MPU6500 Acceleration Sensor|[-0.82360536,1.0103531,7.3166804]|1500663731798
533|MPU6500 Gyroscope Sensor|[-0.07137272,0.004261058,0.06178534]|1500663731799
533|MPU6500 Acceleration Sensor|[-0.8331822,1.6136919,7.8589673]|1500663731805
533|MPU6500 Gyroscope Sensor|[-0.09161274,-0.0063915867,0.05752428]|1500663731804
533|MPU6500 Acceleration Sensor|[-0.6631939,2.1440077,8.683769]|1500663731808
